starttime	seconds	ctime	dtime	ttime	wait
Thu Oct 07 16:43:39 2021	1633596219	0	134	134	134
Thu Oct 07 16:43:41 2021	1633596221	0	134	134	133
Thu Oct 07 16:43:38 2021	1633596218	0	134	134	134
Thu Oct 07 16:43:39 2021	1633596219	0	134	134	134
Thu Oct 07 16:43:38 2021	1633596218	0	134	134	134
Thu Oct 07 16:43:39 2021	1633596219	0	134	134	134
Thu Oct 07 16:43:40 2021	1633596220	0	134	134	134
Thu Oct 07 16:43:40 2021	1633596220	0	134	135	134
Thu Oct 07 16:43:40 2021	1633596220	0	135	135	134
Thu Oct 07 16:43:40 2021	1633596220	0	135	135	134
Thu Oct 07 16:43:38 2021	1633596218	0	135	135	134
Thu Oct 07 16:43:39 2021	1633596219	0	135	135	134
Thu Oct 07 16:43:39 2021	1633596219	0	135	135	134
Thu Oct 07 16:43:40 2021	1633596220	0	135	135	134
Thu Oct 07 16:43:38 2021	1633596218	0	135	135	133
Thu Oct 07 16:43:38 2021	1633596218	0	135	135	135
Thu Oct 07 16:43:40 2021	1633596220	0	135	135	135
Thu Oct 07 16:43:39 2021	1633596219	0	135	135	135
Thu Oct 07 16:43:40 2021	1633596220	0	135	135	135
Thu Oct 07 16:43:40 2021	1633596220	0	135	135	135
Thu Oct 07 16:43:40 2021	1633596220	0	135	135	135
Thu Oct 07 16:43:38 2021	1633596218	0	135	135	135
Thu Oct 07 16:43:40 2021	1633596220	0	135	136	135
Thu Oct 07 16:43:40 2021	1633596220	0	135	136	135
Thu Oct 07 16:43:41 2021	1633596221	0	136	136	135
Thu Oct 07 16:43:40 2021	1633596220	0	136	136	133
Thu Oct 07 16:43:39 2021	1633596219	0	136	136	135
Thu Oct 07 16:43:39 2021	1633596219	0	136	136	135
Thu Oct 07 16:43:38 2021	1633596218	0	136	136	136
Thu Oct 07 16:43:39 2021	1633596219	0	136	136	135
Thu Oct 07 16:43:39 2021	1633596219	0	136	136	136
Thu Oct 07 16:43:38 2021	1633596218	0	136	136	136
Thu Oct 07 16:43:39 2021	1633596219	0	136	136	136
Thu Oct 07 16:43:39 2021	1633596219	0	136	136	136
Thu Oct 07 16:43:40 2021	1633596220	0	136	136	136
Thu Oct 07 16:43:40 2021	1633596220	0	136	136	136
Thu Oct 07 16:43:40 2021	1633596220	0	136	136	136
Thu Oct 07 16:43:38 2021	1633596218	0	136	136	136
Thu Oct 07 16:43:40 2021	1633596220	0	136	136	136
Thu Oct 07 16:43:40 2021	1633596220	0	136	137	136
Thu Oct 07 16:43:39 2021	1633596219	0	137	137	136
Thu Oct 07 16:43:38 2021	1633596218	0	137	137	136
Thu Oct 07 16:43:39 2021	1633596219	0	137	137	136
Thu Oct 07 16:43:40 2021	1633596220	0	137	137	136
Thu Oct 07 16:43:38 2021	1633596218	0	137	137	136
Thu Oct 07 16:43:39 2021	1633596219	0	137	137	134
Thu Oct 07 16:43:40 2021	1633596220	0	137	137	136
Thu Oct 07 16:43:41 2021	1633596221	0	137	137	136
Thu Oct 07 16:43:39 2021	1633596219	0	137	137	136
Thu Oct 07 16:43:38 2021	1633596218	0	137	137	136
Thu Oct 07 16:43:38 2021	1633596218	0	137	137	137
Thu Oct 07 16:43:38 2021	1633596218	0	137	137	136
Thu Oct 07 16:43:41 2021	1633596221	0	137	137	136
Thu Oct 07 16:43:40 2021	1633596220	0	137	137	137
Thu Oct 07 16:43:39 2021	1633596219	0	137	137	136
Thu Oct 07 16:43:40 2021	1633596220	0	137	137	137
Thu Oct 07 16:43:40 2021	1633596220	0	137	137	137
Thu Oct 07 16:43:39 2021	1633596219	0	137	137	136
Thu Oct 07 16:43:39 2021	1633596219	0	137	137	137
Thu Oct 07 16:43:40 2021	1633596220	0	137	137	137
Thu Oct 07 16:43:40 2021	1633596220	0	137	137	137
Thu Oct 07 16:43:40 2021	1633596220	0	137	137	137
Thu Oct 07 16:43:39 2021	1633596219	0	137	138	137
Thu Oct 07 16:43:39 2021	1633596219	0	138	138	137
Thu Oct 07 16:43:39 2021	1633596219	0	138	138	137
Thu Oct 07 16:43:39 2021	1633596219	0	138	138	137
Thu Oct 07 16:43:40 2021	1633596220	0	138	138	137
Thu Oct 07 16:43:39 2021	1633596219	0	138	138	137
Thu Oct 07 16:43:40 2021	1633596220	0	138	138	137
Thu Oct 07 16:43:39 2021	1633596219	0	138	138	138
Thu Oct 07 16:43:39 2021	1633596219	0	138	138	137
Thu Oct 07 16:43:39 2021	1633596219	0	138	138	137
Thu Oct 07 16:43:38 2021	1633596218	0	138	138	138
Thu Oct 07 16:43:40 2021	1633596220	0	138	138	138
Thu Oct 07 16:43:39 2021	1633596219	0	138	138	138
Thu Oct 07 16:43:40 2021	1633596220	0	138	138	138
Thu Oct 07 16:43:39 2021	1633596219	0	138	138	138
Thu Oct 07 16:43:38 2021	1633596218	0	138	138	137
Thu Oct 07 16:43:39 2021	1633596219	0	139	139	139
Thu Oct 07 16:43:40 2021	1633596220	0	139	139	139
Thu Oct 07 16:43:40 2021	1633596220	0	139	139	138
Thu Oct 07 16:43:40 2021	1633596220	0	139	139	138
Thu Oct 07 16:43:40 2021	1633596220	0	139	139	139
Thu Oct 07 16:43:38 2021	1633596218	0	139	139	137
Thu Oct 07 16:43:38 2021	1633596218	0	139	139	139
Thu Oct 07 16:43:40 2021	1633596220	0	139	139	139
Thu Oct 07 16:43:40 2021	1633596220	0	139	139	139
Thu Oct 07 16:43:40 2021	1633596220	0	139	139	138
Thu Oct 07 16:43:40 2021	1633596220	0	139	139	138
Thu Oct 07 16:43:38 2021	1633596218	0	139	139	139
Thu Oct 07 16:43:38 2021	1633596218	0	139	139	139
Thu Oct 07 16:43:40 2021	1633596220	0	139	139	139
Thu Oct 07 16:43:38 2021	1633596218	0	139	139	139
Thu Oct 07 16:43:40 2021	1633596220	0	139	139	139
Thu Oct 07 16:43:40 2021	1633596220	0	140	140	139
Thu Oct 07 16:43:38 2021	1633596218	0	139	140	139
Thu Oct 07 16:43:41 2021	1633596221	0	139	140	139
Thu Oct 07 16:43:39 2021	1633596219	0	139	140	139
Thu Oct 07 16:43:38 2021	1633596218	0	140	140	139
Thu Oct 07 16:43:38 2021	1633596218	0	140	140	139
Thu Oct 07 16:43:39 2021	1633596219	0	140	140	137
Thu Oct 07 16:43:39 2021	1633596219	0	140	140	139
Thu Oct 07 16:43:40 2021	1633596220	0	140	140	139
Thu Oct 07 16:43:38 2021	1633596218	0	140	140	139
Thu Oct 07 16:43:40 2021	1633596220	0	140	140	139
Thu Oct 07 16:43:39 2021	1633596219	0	140	140	139
Thu Oct 07 16:43:40 2021	1633596220	0	140	140	139
Thu Oct 07 16:43:38 2021	1633596218	0	140	140	139
Thu Oct 07 16:43:39 2021	1633596219	0	140	140	139
Thu Oct 07 16:43:38 2021	1633596218	0	140	140	138
Thu Oct 07 16:43:40 2021	1633596220	0	140	140	139
Thu Oct 07 16:43:40 2021	1633596220	0	140	140	140
Thu Oct 07 16:43:39 2021	1633596219	0	140	140	140
Thu Oct 07 16:43:39 2021	1633596219	0	140	140	140
Thu Oct 07 16:43:40 2021	1633596220	0	140	140	140
Thu Oct 07 16:43:38 2021	1633596218	0	140	140	140
Thu Oct 07 16:43:40 2021	1633596220	0	140	140	140
Thu Oct 07 16:43:38 2021	1633596218	0	140	140	140
