starttime	seconds	ctime	dtime	ttime	wait
Thu Oct 07 16:50:01 2021	1633596601	0	131	131	130
Thu Oct 07 16:50:02 2021	1633596602	0	131	131	130
Thu Oct 07 16:50:01 2021	1633596601	0	131	131	130
Thu Oct 07 16:50:01 2021	1633596601	0	131	131	130
Thu Oct 07 16:50:03 2021	1633596603	0	131	131	130
Thu Oct 07 16:50:02 2021	1633596602	0	131	131	131
Thu Oct 07 16:50:01 2021	1633596601	0	131	131	130
Thu Oct 07 16:50:03 2021	1633596603	0	131	131	129
Thu Oct 07 16:50:01 2021	1633596601	0	131	131	131
Thu Oct 07 16:50:03 2021	1633596603	0	131	131	131
Thu Oct 07 16:50:00 2021	1633596600	0	131	131	130
Thu Oct 07 16:50:00 2021	1633596600	0	131	131	131
Thu Oct 07 16:50:01 2021	1633596601	0	131	131	131
Thu Oct 07 16:50:02 2021	1633596602	0	131	131	128
Thu Oct 07 16:50:01 2021	1633596601	0	131	131	131
Thu Oct 07 16:50:01 2021	1633596601	0	131	131	131
Thu Oct 07 16:50:02 2021	1633596602	0	131	131	130
Thu Oct 07 16:50:03 2021	1633596603	0	131	131	131
Thu Oct 07 16:50:03 2021	1633596603	0	131	131	131
Thu Oct 07 16:50:01 2021	1633596601	0	131	131	131
Thu Oct 07 16:50:02 2021	1633596602	0	131	131	131
Thu Oct 07 16:50:02 2021	1633596602	0	131	131	131
Thu Oct 07 16:50:01 2021	1633596601	0	131	131	131
Thu Oct 07 16:50:03 2021	1633596603	0	131	131	131
Thu Oct 07 16:50:03 2021	1633596603	0	132	132	131
Thu Oct 07 16:50:02 2021	1633596602	0	132	132	131
Thu Oct 07 16:50:00 2021	1633596600	0	132	132	131
